,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
128,FDS,FDS,FICO,FCN,FCN,FCS,FHN,FNB,FSLR,FSLR,FULT,GHC
129,FICO,FICO,FL,FCS,FCS,FDS,FICO,FR,FULT,FULT,GATX,GME
130,FL,FL,FLO,FDS,FDS,FEIC,FII,FSLR,GATX,GATX,GBCI,GMED
131,FLO,FLO,FMER,FHN,FHN,FHN,FLO,FTNT,GEF,GEF,GEF,GNTX
132,FMER,FMER,FNF,FICO,FICO,FICO,FNB,FULT,GEO,GEO,GGG,GO
133,FNF,FNF,FNFG,FII,FII,FII,FOSL,GATX,GGG,GGG,GHC,GPS
134,FNFG,FNFG,FOSL,FL,FL,FL,FR,GEF,GHC,GHC,GMED,GT
135,FOSL,FOSL,FRT,FLO,FLO,FLO,FTNT,GEO,GME,GME,GNRC,GTLS
136,FRT,FRT,FST,FMER,FMER,FMER,FULT,GGG,GMED,GMED,GNTX,GXO
137,FST,FST,FTO,FNF,FNF,FNFG,GATX,GHC,GNTX,GNTX,GNW,HAE
138,FTO,FTO,FULT,FNFG,FNFG,FRT,GEF,GME,GNW,GNW,GO,HAIN
139,FULT,FULT,GAS,FRT,FRT,FTNT,GGG,GMED,GPOR,GPOR,GRUB,HALO
140,GDI,GDI,GDI,FULT,FULT,FULT,GHC,GNTX,GVA,GVA,GT,HBI
141,GEF,GEF,GEF,GEF,GEF,GEF,GME,GNW,GWR,GWR,HAE,HE
142,GES,GES,GES,GES,GES,GES,GMED,GPOR,HAE,HAE,HAIN,HELE
143,GGG,GGG,GGG,GGG,GGG,GGG,GNTX,GVA,HAIN,HAIN,HALO,HIW
144,GHL,GHL,GHL,GHL,GHL,GHC,GNW,GWR,HCSG,HCSG,HCSG,HOG
145,GMCR,GMCR,GMCR,GMCR,GMCR,GMT,GPOR,GXP,HE,HE,HE,HOMB
146,GMT,GMT,GMT,GMT,GMT,GNTX,GVA,HAIN,HELE,HELE,HELE,HPP
147,GNTX,GNTX,GNTX,GNTX,GNTX,GPN,GWR,HBHC,HIW,HIW,HIW,HQY
148,GPN,GPN,GPN,GPN,GPN,GPOR,GXP,HE,HNI,HNI,HNI,HR
149,GPRO,GPRO,GPRO,GVA,GVA,GVA,HAIN,HELE,HOMB,HOMB,HOG,HRB
150,GVA,GVA,GVA,GWR,GWR,GWR,HBHC,HFC,HPT,HPT,HOMB,HUBB
151,GXP,GXP,GXP,GXP,GXP,GXP,HE,HII,HQY,HQY,HPP,HWC
152,HANS,HANS,HANS,HBHC,HBHC,HAIN,HELE,HIW,HR,HR,HQY,HXL
153,HBI,HBI,HBI,HBI,HBI,HBHC,HFC,HLS,HRC,HRC,HR,IAA
154,HCC,HCC,HCC,HCC,HCC,HCC,HII,HNI,HUBB,HUBB,HRB,IART
155,HE,HE,HE,HE,HE,HE,HIW,HOMB,HWC,HWC,HRC,IBKR
156,HHS,HHS,HHS,HFC,HFC,HFC,HLS,HPT,IART,IART,HUBB,IBOC
157,HIW,HIW,HIW,HII,HII,HII,HNI,HR,IBOC,IBOC,HWC,ICUI
158,HLX,HLX,HLX,HIW,HIW,HIW,HPT,HRC,ICUI,ICUI,HXL,IDA
159,HMA,HMA,HMA,HLX,HLX,HLX,HR,HSNI,IDA,IDA,IAA,IIVI
160,HNI,HNI,HNI,HMA,HMA,HME,HRC,HUBB,IDCC,IDCC,IART,INGR
161,HNT,HNT,HNT,HME,HME,HMSY,HSNI,HYH,IDTI,IDTI,IBKR,IPGP
162,HOLX,HOLX,HOLX,HMSY,HMSY,HNI,HUBB,IBOC,IEX,IEX,IBOC,IRDM
163,HPT,HPT,HPT,HNI,HNI,HNT,HYH,IDA,INGR,INGR,ICUI,IRT
164,HRC,HRC,HRC,HNT,HNT,HOLX,IBOC,IDCC,INT,INT,IDA,ITT
165,HSC,HSC,HSC,HOLX,HOLX,HPT,IDA,IDTI,ISCA,ISCA,IDCC,JAZZ
166,HSIC,HSIC,HSIC,HPT,HPT,HRC,IDCC,IEX,ITT,ITT,IIVI,JBGS
167,HUBB,HUBB,HUBB,HRC,HRC,HSC,IDTI,ILG,JACK,JACK,INGR,JBL
168,IBOC,IBOC,IBOC,HSC,HSC,HSNI,IDXX,INCR,JBGS,JBGS,INT,JBLU
169,IDA,IDA,IDA,HSH,HSH,HUB.B,IEX,INGR,JBL,JBL,ITT,JEF
